ano,id_municipio,id_uf,sigla_uf,nome_municipio,pct_alfabetizados,meta_pct,nivel_meta,fonte_meta,gap_meta_pct,atingiu_meta,n_avaliados,ponto_corte,camada,delta_pp_ano_anterior
2021,1000013,15,PA,Municipio_PA_1,39.42,48.54,amostra_offline,dados sintéticos de demonstração,-9.119999999999997,False,763,743,gold,
2022,1000013,15,PA,Municipio_PA_1,55.98,62.44,amostra_offline,dados sintéticos de demonstração,-6.460000000000001,False,257,743,gold,16.559999999999995
2023,1000013,15,PA,Municipio_PA_1,68.29,74.8,amostra_offline,dados sintéticos de demonstração,-6.509999999999991,False,453,743,gold,12.31000000000001
2021,1000014,15,PA,Municipio_PA_2,50.75,55.7,amostra_offline,dados sintéticos de demonstração,-4.950000000000003,False,590,743,gold,
2022,1000014,15,PA,Municipio_PA_2,60.55,56.98,amostra_offline,dados sintéticos de demonstração,3.5700000000000003,True,183,743,gold,9.799999999999997
2023,1000014,15,PA,Municipio_PA_2,78.55,70.9,amostra_offline,dados sintéticos de demonstração,7.6499999999999915,True,657,743,gold,18.0
2021,1000015,15,PA,Municipio_PA_3,38.62,45.73,amostra_offline,dados sintéticos de demonstração,-7.109999999999999,False,219,743,gold,
2022,1000015,15,PA,Municipio_PA_3,50.78,64.21,amostra_offline,dados sintéticos de demonstração,-13.429999999999993,False,601,743,gold,12.160000000000004
2023,1000015,15,PA,Municipio_PA_3,77.4,76.55,amostra_offline,dados sintéticos de demonstração,0.8500000000000085,True,166,743,gold,26.620000000000005
2021,1000016,16,AP,Municipio_AP_1,42.47,49.17,amostra_offline,dados sintéticos de demonstração,-6.700000000000003,False,182,743,gold,
2022,1000016,16,AP,Municipio_AP_1,74.54,63.53,amostra_offline,dados sintéticos de demonstração,11.010000000000005,True,528,743,gold,32.07000000000001
2023,1000016,16,AP,Municipio_AP_1,68.36,74.0,amostra_offline,dados sintéticos de demonstração,-5.640000000000001,False,83,743,gold,-6.180000000000007
2021,1000017,16,AP,Municipio_AP_2,53.76,57.65,amostra_offline,dados sintéticos de demonstração,-3.8900000000000006,False,133,743,gold,
2022,1000017,16,AP,Municipio_AP_2,69.3,63.41,amostra_offline,dados sintéticos de demonstração,5.890000000000001,True,85,743,gold,15.54
2023,1000017,16,AP,Municipio_AP_2,79.46,76.33,amostra_offline,dados sintéticos de demonstração,3.1299999999999955,True,263,743,gold,10.159999999999997
2021,1000018,16,AP,Municipio_AP_3,55.34,46.4,amostra_offline,dados sintéticos de demonstração,8.940000000000005,True,703,743,gold,
2022,1000018,16,AP,Municipio_AP_3,47.22,58.53,amostra_offline,dados sintéticos de demonstração,-11.310000000000002,False,165,743,gold,-8.120000000000005
2023,1000018,16,AP,Municipio_AP_3,71.38,69.25,amostra_offline,dados sintéticos de demonstração,2.1299999999999955,True,714,743,gold,24.159999999999997
2021,1000019,17,TO,Municipio_TO_1,56.75,47.21,amostra_offline,dados sintéticos de demonstração,9.54,True,300,743,gold,
2022,1000019,17,TO,Municipio_TO_1,67.36,60.98,amostra_offline,dados sintéticos de demonstração,6.380000000000003,True,501,743,gold,10.61
2023,1000019,17,TO,Municipio_TO_1,66.89,70.2,amostra_offline,dados sintéticos de demonstração,-3.3100000000000023,False,180,743,gold,-0.46999999999999886
2021,1000020,17,TO,Municipio_TO_2,48.21,49.28,amostra_offline,dados sintéticos de demonstração,-1.0700000000000003,False,648,743,gold,
2022,1000020,17,TO,Municipio_TO_2,54.56,58.31,amostra_offline,dados sintéticos de demonstração,-3.75,False,189,743,gold,6.350000000000001
2023,1000020,17,TO,Municipio_TO_2,63.98,67.33,amostra_offline,dados sintéticos de demonstração,-3.3500000000000014,False,476,743,gold,9.419999999999995
2021,1000021,17,TO,Municipio_TO_3,53.58,49.37,amostra_offline,dados sintéticos de demonstração,4.210000000000001,True,217,743,gold,
2022,1000021,17,TO,Municipio_TO_3,55.51,53.77,amostra_offline,dados sintéticos de demonstração,1.7399999999999949,True,422,743,gold,1.9299999999999997
2023,1000021,17,TO,Municipio_TO_3,70.47,64.6,amostra_offline,dados sintéticos de demonstração,5.8700000000000045,True,796,743,gold,14.96
2021,1000022,21,MA,Municipio_MA_1,41.64,45.46,amostra_offline,dados sintéticos de demonstração,-3.8200000000000003,False,537,743,gold,
2022,1000022,21,MA,Municipio_MA_1,57.38,63.82,amostra_offline,dados sintéticos de demonstração,-6.439999999999998,False,169,743,gold,15.740000000000002
2023,1000022,21,MA,Municipio_MA_1,73.26,64.03,amostra_offline,dados sintéticos de demonstração,9.230000000000004,True,145,743,gold,15.880000000000003
2021,1000023,21,MA,Municipio_MA_2,47.83,55.98,amostra_offline,dados sintéticos de demonstração,-8.149999999999999,False,526,743,gold,
2022,1000023,21,MA,Municipio_MA_2,58.69,52.2,amostra_offline,dados sintéticos de demonstração,6.489999999999995,True,338,743,gold,10.86
2023,1000023,21,MA,Municipio_MA_2,73.38,65.19,amostra_offline,dados sintéticos de demonstração,8.189999999999998,True,788,743,gold,14.689999999999998
2021,1000024,21,MA,Municipio_MA_3,64.83,56.46,amostra_offline,dados sintéticos de demonstração,8.369999999999997,True,700,743,gold,
2022,1000024,21,MA,Municipio_MA_3,62.43,61.74,amostra_offline,dados sintéticos de demonstração,0.6899999999999977,True,356,743,gold,-2.3999999999999986
2023,1000024,21,MA,Municipio_MA_3,68.09,64.61,amostra_offline,dados sintéticos de demonstração,3.480000000000004,True,113,743,gold,5.660000000000004
2021,1000025,22,PI,Municipio_PI_1,44.06,44.97,amostra_offline,dados sintéticos de demonstração,-0.9099999999999966,False,121,743,gold,
2022,1000025,22,PI,Municipio_PI_1,62.37,56.72,amostra_offline,dados sintéticos de demonstração,5.649999999999999,True,297,743,gold,18.309999999999995
2023,1000025,22,PI,Municipio_PI_1,60.14,70.68,amostra_offline,dados sintéticos de demonstração,-10.540000000000006,False,138,743,gold,-2.229999999999997
2021,1000026,22,PI,Municipio_PI_2,54.0,48.48,amostra_offline,dados sintéticos de demonstração,5.520000000000003,True,101,743,gold,
2022,1000026,22,PI,Municipio_PI_2,60.1,55.92,amostra_offline,dados sintéticos de demonstração,4.18,True,176,743,gold,6.100000000000001
2023,1000026,22,PI,Municipio_PI_2,69.97,70.48,amostra_offline,dados sintéticos de demonstração,-0.5100000000000051,False,674,743,gold,9.869999999999997
2021,1000027,22,PI,Municipio_PI_3,31.86,46.05,amostra_offline,dados sintéticos de demonstração,-14.189999999999998,False,353,743,gold,
2022,1000027,22,PI,Municipio_PI_3,50.57,60.51,amostra_offline,dados sintéticos de demonstração,-9.939999999999998,False,684,743,gold,18.71
2023,1000027,22,PI,Municipio_PI_3,65.42,74.7,amostra_offline,dados sintéticos de demonstração,-9.280000000000001,False,231,743,gold,14.850000000000001
2021,1000028,23,CE,Municipio_CE_1,50.37,56.75,amostra_offline,dados sintéticos de demonstração,-6.380000000000003,False,378,743,gold,
2022,1000028,23,CE,Municipio_CE_1,68.29,59.19,amostra_offline,dados sintéticos de demonstração,9.100000000000009,True,617,743,gold,17.92000000000001
2023,1000028,23,CE,Municipio_CE_1,79.63,70.14,amostra_offline,dados sintéticos de demonstração,9.489999999999995,True,317,743,gold,11.33999999999999
2021,1000029,23,CE,Municipio_CE_2,55.39,52.49,amostra_offline,dados sintéticos de demonstração,2.8999999999999986,True,299,743,gold,
2022,1000029,23,CE,Municipio_CE_2,51.18,62.69,amostra_offline,dados sintéticos de demonstração,-11.509999999999998,False,707,743,gold,-4.210000000000001
2023,1000029,23,CE,Municipio_CE_2,83.95,73.22,amostra_offline,dados sintéticos de demonstração,10.730000000000004,True,499,743,gold,32.77
2021,1000030,23,CE,Municipio_CE_3,48.75,51.76,amostra_offline,dados sintéticos de demonstração,-3.009999999999998,False,207,743,gold,
2022,1000030,23,CE,Municipio_CE_3,69.57,63.92,amostra_offline,dados sintéticos de demonstração,5.6499999999999915,True,247,743,gold,20.819999999999993
2023,1000030,23,CE,Municipio_CE_3,65.3,75.77,amostra_offline,dados sintéticos de demonstração,-10.469999999999999,False,343,743,gold,-4.269999999999996
2021,1000031,24,RN,Municipio_RN_1,39.38,43.85,amostra_offline,dados sintéticos de demonstração,-4.469999999999999,False,404,743,gold,
2022,1000031,24,RN,Municipio_RN_1,50.64,62.62,amostra_offline,dados sintéticos de demonstração,-11.979999999999997,False,591,743,gold,11.259999999999998
2023,1000031,24,RN,Municipio_RN_1,71.22,77.63,amostra_offline,dados sintéticos de demonstração,-6.409999999999997,False,293,743,gold,20.58
2021,1000032,24,RN,Municipio_RN_2,52.36,47.14,amostra_offline,dados sintéticos de demonstração,5.219999999999999,True,594,743,gold,
2022,1000032,24,RN,Municipio_RN_2,64.89,58.98,amostra_offline,dados sintéticos de demonstração,5.910000000000004,True,151,743,gold,12.530000000000001
2023,1000032,24,RN,Municipio_RN_2,74.72,75.17,amostra_offline,dados sintéticos de demonstração,-0.45000000000000284,False,407,743,gold,9.829999999999998
2021,1000033,24,RN,Municipio_RN_3,50.62,45.33,amostra_offline,dados sintéticos de demonstração,5.289999999999999,True,772,743,gold,
2022,1000033,24,RN,Municipio_RN_3,56.55,67.85,amostra_offline,dados sintéticos de demonstração,-11.299999999999997,False,791,743,gold,5.93
2023,1000033,24,RN,Municipio_RN_3,74.05,73.76,amostra_offline,dados sintéticos de demonstração,0.28999999999999204,True,617,743,gold,17.5
2021,1000034,25,PB,Municipio_PB_1,61.45,54.13,amostra_offline,dados sintéticos de demonstração,7.32,True,330,743,gold,
2022,1000034,25,PB,Municipio_PB_1,64.55,55.4,amostra_offline,dados sintéticos de demonstração,9.149999999999999,True,636,743,gold,3.0999999999999943
2023,1000034,25,PB,Municipio_PB_1,63.65,72.87,amostra_offline,dados sintéticos de demonstração,-9.220000000000006,False,722,743,gold,-0.8999999999999986
2021,1000035,25,PB,Municipio_PB_2,41.87,47.13,amostra_offline,dados sintéticos de demonstração,-5.260000000000005,False,255,743,gold,
2022,1000035,25,PB,Municipio_PB_2,54.57,66.87,amostra_offline,dados sintéticos de demonstração,-12.300000000000004,False,622,743,gold,12.700000000000003
2023,1000035,25,PB,Municipio_PB_2,74.32,75.12,amostra_offline,dados sintéticos de demonstração,-0.8000000000000114,False,183,743,gold,19.749999999999993
2021,1000036,25,PB,Municipio_PB_3,39.82,51.36,amostra_offline,dados sintéticos de demonstração,-11.54,False,551,743,gold,
2022,1000036,25,PB,Municipio_PB_3,72.15,62.13,amostra_offline,dados sintéticos de demonstração,10.020000000000003,True,657,743,gold,32.330000000000005
2023,1000036,25,PB,Municipio_PB_3,69.18,64.66,amostra_offline,dados sintéticos de demonstração,4.52000000000001,True,777,743,gold,-2.969999999999999
2021,1000037,26,PE,Municipio_PE_1,39.12,52.7,amostra_offline,dados sintéticos de demonstração,-13.580000000000005,False,552,743,gold,
2022,1000037,26,PE,Municipio_PE_1,44.6,59.45,amostra_offline,dados sintéticos de demonstração,-14.850000000000001,False,488,743,gold,5.480000000000004
2023,1000037,26,PE,Municipio_PE_1,85.52,77.42,amostra_offline,dados sintéticos de demonstração,8.099999999999994,True,693,743,gold,40.919999999999995
2021,1000038,26,PE,Municipio_PE_2,59.1,57.71,amostra_offline,dados sintéticos de demonstração,1.3900000000000006,True,735,743,gold,
2022,1000038,26,PE,Municipio_PE_2,51.64,65.99,amostra_offline,dados sintéticos de demonstração,-14.349999999999994,False,756,743,gold,-7.460000000000001
2023,1000038,26,PE,Municipio_PE_2,61.15,70.36,amostra_offline,dados sintéticos de demonstração,-9.21,False,402,743,gold,9.509999999999998
2021,1000039,26,PE,Municipio_PE_3,66.25,54.94,amostra_offline,dados sintéticos de demonstração,11.310000000000002,True,256,743,gold,
2022,1000039,26,PE,Municipio_PE_3,52.0,52.57,amostra_offline,dados sintéticos de demonstração,-0.5700000000000003,False,345,743,gold,-14.25
2023,1000039,26,PE,Municipio_PE_3,80.29,70.56,amostra_offline,dados sintéticos de demonstração,9.730000000000004,True,707,743,gold,28.290000000000006
2021,1000040,27,AL,Municipio_AL_1,51.93,43.51,amostra_offline,dados sintéticos de demonstração,8.420000000000002,True,171,743,gold,
2022,1000040,27,AL,Municipio_AL_1,71.58,67.55,amostra_offline,dados sintéticos de demonstração,4.030000000000001,True,630,743,gold,19.65
2023,1000040,27,AL,Municipio_AL_1,78.42,76.89,amostra_offline,dados sintéticos de demonstração,1.5300000000000011,True,142,743,gold,6.840000000000003
2021,1000041,27,AL,Municipio_AL_2,68.36,56.98,amostra_offline,dados sintéticos de demonstração,11.380000000000003,True,109,743,gold,
2022,1000041,27,AL,Municipio_AL_2,62.5,60.6,amostra_offline,dados sintéticos de demonstração,1.8999999999999986,True,653,743,gold,-5.859999999999999
2023,1000041,27,AL,Municipio_AL_2,62.43,65.61,amostra_offline,dados sintéticos de demonstração,-3.1799999999999997,False,527,743,gold,-0.07000000000000028
2021,1000042,27,AL,Municipio_AL_3,47.06,56.99,amostra_offline,dados sintéticos de demonstração,-9.93,False,671,743,gold,
2022,1000042,27,AL,Municipio_AL_3,57.68,59.78,amostra_offline,dados sintéticos de demonstração,-2.1000000000000014,False,743,743,gold,10.619999999999997
2023,1000042,27,AL,Municipio_AL_3,74.19,76.35,amostra_offline,dados sintéticos de demonstração,-2.1599999999999966,False,596,743,gold,16.509999999999998
2021,1000043,28,SE,Municipio_SE_1,57.74,55.7,amostra_offline,dados sintéticos de demonstração,2.039999999999999,True,297,743,gold,
2022,1000043,28,SE,Municipio_SE_1,61.2,63.79,amostra_offline,dados sintéticos de demonstração,-2.5899999999999963,False,463,743,gold,3.460000000000001
2023,1000043,28,SE,Municipio_SE_1,54.35,66.36,amostra_offline,dados sintéticos de demonstração,-12.009999999999998,False,151,743,gold,-6.850000000000001
2021,1000044,28,SE,Municipio_SE_2,39.69,46.37,amostra_offline,dados sintéticos de demonstração,-6.68,False,355,743,gold,
2022,1000044,28,SE,Municipio_SE_2,70.98,63.97,amostra_offline,dados sintéticos de demonstração,7.010000000000005,True,228,743,gold,31.290000000000006
2023,1000044,28,SE,Municipio_SE_2,59.39,67.02,amostra_offline,dados sintéticos de demonstração,-7.6299999999999955,False,343,743,gold,-11.590000000000003
2021,1000045,28,SE,Municipio_SE_3,55.32,56.88,amostra_offline,dados sintéticos de demonstração,-1.5600000000000023,False,532,743,gold,
2022,1000045,28,SE,Municipio_SE_3,57.99,59.64,amostra_offline,dados sintéticos de demonstração,-1.6499999999999986,False,434,743,gold,2.6700000000000017
2023,1000045,28,SE,Municipio_SE_3,86.49,77.92,amostra_offline,dados sintéticos de demonstração,8.569999999999993,True,165,743,gold,28.499999999999993
2021,1000046,29,BA,Municipio_BA_1,53.07,57.19,amostra_offline,dados sintéticos de demonstração,-4.119999999999997,False,122,743,gold,
2022,1000046,29,BA,Municipio_BA_1,67.46,56.42,amostra_offline,dados sintéticos de demonstração,11.039999999999992,True,484,743,gold,14.389999999999993
2023,1000046,29,BA,Municipio_BA_1,66.11,75.36,amostra_offline,dados sintéticos de demonstração,-9.25,False,567,743,gold,-1.3499999999999943
2021,1000047,29,BA,Municipio_BA_2,42.36,54.96,amostra_offline,dados sintéticos de demonstração,-12.600000000000001,False,181,743,gold,
2022,1000047,29,BA,Municipio_BA_2,65.92,62.28,amostra_offline,dados sintéticos de demonstração,3.6400000000000006,True,176,743,gold,23.560000000000002
2023,1000047,29,BA,Municipio_BA_2,73.12,66.63,amostra_offline,dados sintéticos de demonstração,6.490000000000009,True,232,743,gold,7.200000000000003
2021,1000048,29,BA,Municipio_BA_3,46.85,44.59,amostra_offline,dados sintéticos de demonstração,2.259999999999998,True,392,743,gold,
2022,1000048,29,BA,Municipio_BA_3,60.13,54.05,amostra_offline,dados sintéticos de demonstração,6.080000000000005,True,194,743,gold,13.280000000000001
2023,1000048,29,BA,Municipio_BA_3,66.99,71.32,amostra_offline,dados sintéticos de demonstração,-4.329999999999998,False,679,743,gold,6.859999999999992
2021,1000049,31,MG,Municipio_MG_1,52.26,57.75,amostra_offline,dados sintéticos de demonstração,-5.490000000000002,False,335,743,gold,
2022,1000049,31,MG,Municipio_MG_1,59.28,66.14,amostra_offline,dados sintéticos de demonstração,-6.859999999999999,False,259,743,gold,7.020000000000003
2023,1000049,31,MG,Municipio_MG_1,75.93,67.57,amostra_offline,dados sintéticos de demonstração,8.360000000000014,True,620,743,gold,16.650000000000006
2021,1000050,31,MG,Municipio_MG_2,62.85,53.94,amostra_offline,dados sintéticos de demonstração,8.910000000000004,True,294,743,gold,
2022,1000050,31,MG,Municipio_MG_2,65.52,63.36,amostra_offline,dados sintéticos de demonstração,2.1599999999999966,True,347,743,gold,2.6699999999999946
2023,1000050,31,MG,Municipio_MG_2,86.94,77.56,amostra_offline,dados sintéticos de demonstração,9.379999999999995,True,568,743,gold,21.42
2021,1000051,31,MG,Municipio_MG_3,56.42,54.39,amostra_offline,dados sintéticos de demonstração,2.030000000000001,True,374,743,gold,
2022,1000051,31,MG,Municipio_MG_3,59.39,65.47,amostra_offline,dados sintéticos de demonstração,-6.079999999999998,False,766,743,gold,2.969999999999999
2023,1000051,31,MG,Municipio_MG_3,66.61,66.64,amostra_offline,dados sintéticos de demonstração,-0.030000000000001137,False,284,743,gold,7.219999999999999
2021,1000052,32,ES,Municipio_ES_1,34.39,43.39,amostra_offline,dados sintéticos de demonstração,-9.0,False,318,743,gold,
2022,1000052,32,ES,Municipio_ES_1,61.71,60.46,amostra_offline,dados sintéticos de demonstração,1.25,True,799,743,gold,27.32
2023,1000052,32,ES,Municipio_ES_1,48.54,63.52,amostra_offline,dados sintéticos de demonstração,-14.980000000000004,False,545,743,gold,-13.170000000000002
2021,1000053,32,ES,Municipio_ES_2,49.54,47.22,amostra_offline,dados sintéticos de demonstração,2.3200000000000003,True,301,743,gold,
2022,1000053,32,ES,Municipio_ES_2,48.33,55.58,amostra_offline,dados sintéticos de demonstração,-7.25,False,331,743,gold,-1.2100000000000009
2023,1000053,32,ES,Municipio_ES_2,85.95,75.76,amostra_offline,dados sintéticos de demonstração,10.189999999999998,True,312,743,gold,37.620000000000005
2021,1000054,32,ES,Municipio_ES_3,63.06,56.5,amostra_offline,dados sintéticos de demonstração,6.560000000000002,True,771,743,gold,
2022,1000054,32,ES,Municipio_ES_3,58.0,63.99,amostra_offline,dados sintéticos de demonstração,-5.990000000000002,False,385,743,gold,-5.060000000000002
2023,1000054,32,ES,Municipio_ES_3,55.88,62.34,amostra_offline,dados sintéticos de demonstração,-6.460000000000001,False,160,743,gold,-2.1199999999999974
2021,1000055,33,RJ,Municipio_RJ_1,44.78,55.58,amostra_offline,dados sintéticos de demonstração,-10.799999999999997,False,453,743,gold,
2022,1000055,33,RJ,Municipio_RJ_1,44.88,54.4,amostra_offline,dados sintéticos de demonstração,-9.519999999999996,False,661,743,gold,0.10000000000000142
2023,1000055,33,RJ,Municipio_RJ_1,71.85,67.64,amostra_offline,dados sintéticos de demonstração,4.209999999999994,True,338,743,gold,26.96999999999999
2021,1000056,33,RJ,Municipio_RJ_2,41.17,53.39,amostra_offline,dados sintéticos de demonstração,-12.219999999999999,False,702,743,gold,
2022,1000056,33,RJ,Municipio_RJ_2,57.25,66.81,amostra_offline,dados sintéticos de demonstração,-9.560000000000002,False,518,743,gold,16.08
2023,1000056,33,RJ,Municipio_RJ_2,73.42,71.82,amostra_offline,dados sintéticos de demonstração,1.6000000000000085,True,426,743,gold,16.17
2021,1000057,33,RJ,Municipio_RJ_3,43.59,50.16,amostra_offline,dados sintéticos de demonstração,-6.569999999999993,False,748,743,gold,
2022,1000057,33,RJ,Municipio_RJ_3,57.57,55.87,amostra_offline,dados sintéticos de demonstração,1.7000000000000028,True,423,743,gold,13.979999999999997
2023,1000057,33,RJ,Municipio_RJ_3,75.19,67.36,amostra_offline,dados sintéticos de demonstração,7.829999999999998,True,606,743,gold,17.619999999999997
2021,1000058,35,SP,Municipio_SP_1,48.0,44.44,amostra_offline,dados sintéticos de demonstração,3.5600000000000023,True,175,743,gold,
2022,1000058,35,SP,Municipio_SP_1,42.34,56.47,amostra_offline,dados sintéticos de demonstração,-14.129999999999995,False,573,743,gold,-5.659999999999997
2023,1000058,35,SP,Municipio_SP_1,71.51,70.49,amostra_offline,dados sintéticos de demonstração,1.0200000000000102,True,184,743,gold,29.17
2021,1000059,35,SP,Municipio_SP_2,42.68,57.08,amostra_offline,dados sintéticos de demonstração,-14.399999999999999,False,785,743,gold,
2022,1000059,35,SP,Municipio_SP_2,48.43,54.35,amostra_offline,dados sintéticos de demonstração,-5.920000000000002,False,146,743,gold,5.75
2023,1000059,35,SP,Municipio_SP_2,59.89,63.45,amostra_offline,dados sintéticos de demonstração,-3.5600000000000023,False,86,743,gold,11.46
2021,1000060,35,SP,Municipio_SP_3,38.12,44.98,amostra_offline,dados sintéticos de demonstração,-6.859999999999999,False,223,743,gold,
2022,1000060,35,SP,Municipio_SP_3,50.81,56.22,amostra_offline,dados sintéticos de demonstração,-5.409999999999997,False,368,743,gold,12.690000000000005
2023,1000060,35,SP,Municipio_SP_3,53.53,67.48,amostra_offline,dados sintéticos de demonstração,-13.950000000000003,False,486,743,gold,2.719999999999999
2021,1000061,41,PR,Municipio_PR_1,52.1,57.88,amostra_offline,dados sintéticos de demonstração,-5.780000000000001,False,459,743,gold,
2022,1000061,41,PR,Municipio_PR_1,42.3,56.23,amostra_offline,dados sintéticos de demonstração,-13.93,False,760,743,gold,-9.800000000000004
2023,1000061,41,PR,Municipio_PR_1,62.31,68.16,amostra_offline,dados sintéticos de demonstração,-5.849999999999994,False,326,743,gold,20.010000000000005
2021,1000062,41,PR,Municipio_PR_2,44.0,50.51,amostra_offline,dados sintéticos de demonstração,-6.509999999999998,False,103,743,gold,
2022,1000062,41,PR,Municipio_PR_2,51.84,64.32,amostra_offline,dados sintéticos de demonstração,-12.47999999999999,False,279,743,gold,7.840000000000003
2023,1000062,41,PR,Municipio_PR_2,61.33,69.17,amostra_offline,dados sintéticos de demonstração,-7.840000000000003,False,779,743,gold,9.489999999999995
2021,1000063,41,PR,Municipio_PR_3,40.63,48.68,amostra_offline,dados sintéticos de demonstração,-8.049999999999997,False,349,743,gold,
2022,1000063,41,PR,Municipio_PR_3,75.11,67.48,amostra_offline,dados sintéticos de demonstração,7.6299999999999955,True,199,743,gold,34.48
